Level of Government,Responsible Ministry:,Administered By:,Program,Show Name,Number of Recipients (BC only),$ amount of benefits (BC only)
Government of Canada,Employment & Social Development,Employment & Social Development,Disability Savings,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Disability Tax Credit,TRUE,,68175500.8
Government of Canada,Veterans Affairs,Veterans Affairs,Education & Training,FALSE,,
Government of Canada,Employment & Social Development,Service Canada,Employment Insurance,TRUE,70780,
Government of Canada,Finance,Canada Revenue Agency,Excise Gasoline Refund,FALSE,,
Government of Canada,"Immigration, Refugees, & Citizenship","Immigration, Refugees, & Citizenship",Newcomers Internship,FALSE,,
Government of Canada,Indigenous Services,Indigenous Services,PSSSP,FALSE,,
Government of Canada,Employment & Social Development,Canada Mortgage & Housing Corporation,FTHBI,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,GST/HST Credit,TRUE,1401770,572979000
Government of Canada,Employment & Social Development,Canada Revenue Agency,New Housing Rebate,FALSE,,
Government of Canada,Employment & Social Development,Service Canada,GIS,TRUE,"268,909","1,729,564,672"
Government of Canada,Employment & Social Development,Canada Revenue Agency,Home Buyer's Plan,FALSE,,
Government of Canada,Employment & Social Development,Canada Mortgage & Housing Corporation,HIIFNIY,FALSE,,
Government of Canada,Employment & Social Development,Canada Mortgage & Housing Corporation,Housing Supply,FALSE,,
Government of Canada,"Immigration, Refugees, & Citizenship","Immigration, Refugees, & Citizenship",Immigation Loans,FALSE,,
Government of Canada,Health,First Nations Health Authority,IRS RHSP,FALSE,,
Government of Canada,"Immigration, Refugees, & Citizenship","Immigration, Refugees, & Citizenship",LINC,FALSE,,
Government of Canada,Finance,Canada Revenue Agency,Medical Expense Credit,FALSE,,84607160.56
Government of Canada,Health,First Nations Health Authority,NIHB,FALSE,,
Government of Canada,Employment & Social Development,Service Canada,OAS,TRUE,"866,474","5,645,859,428"
Government of Canada,"Immigration, Refugees, & Citizenship","Immigration, Refugees, & Citizenship",Resettlement Assistance,FALSE,,
Government of Canada,Employment & Social Development,Employment & Social Development,Skills Link,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Incapacity Allowance,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Attendance Allowance,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Clothing Allowance,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Detention Benefit,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Veteran Program,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,Veteran Program for Survivors,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,War Vet Allowance,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,War Vet Death Benefit,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,War Vet Funeral & Burial Assistance,FALSE,,
Government of Canada,Veterans Affairs,Veterans Affairs,War Vet Prisoner of War Compensation,FALSE,,
Government of Canada,Western Economic Diversification,Western Economic Diversification,Western Business Services Network,FALSE,,
Government of Canada,Employment & Social Development,Employment & Social Development,Work Placements,FALSE,,
Government of Canada,Employment & Social Development,WorkSafeBC,Workers Comp. (federal employees),FALSE,,
Municipal,Municipal ,Municipality,Rec. Fee Assistance,FALSE,,
NGO,NGO,NGO,YVR Rent Bank,FALSE,,
Regulation,Regulation,Regulation,Minimum Wage,FALSE,,
Voluntary Savings,Voluntary Savings,Service provider,RDSP ,FALSE,,
Voluntary Savings,Voluntary Savings,Service provider,RESP,FALSE,,
Voluntary Savings,Voluntary Savings,Service provider,RRSP,FALSE,,
Voluntary Savings,Voluntary Savings,Service provider,TFSA,FALSE,,
